Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Malloy, Justyn-Henry",69,7,0.138,22.73717571
"Smith, Josh",70.1,6.8,0.132,24.15814034
"Davis, J.D.",72.5,7.3,0.137,24.07074486
"Rosario, Eguy",72.5,7.8,0.147,22.5277484
"Schwarber, Kyle",77.5,7.7,0.135,26.07648539
"Báez, Javier",74.8,8.6,0.157,21.74909153
"Luciano, Marco",73.7,7.1,0.131,25.57484461
"Contreras, Willson",75.9,7.9,0.142,24.37770611
"Robinson, Chuckie",71.3,6.9,0.132,24.63010967
"Jimenez, Leo",69.7,7.4,0.145,21.94674982
"Blanco, Dairon",74.1,7.5,0.138,24.47437044
"Herrera, Iván",73.3,7.5,0.140,23.94876169
"Crow-Armstrong, Pete",70.6,7.2,0.139,23.14266039
"Cronenworth, Jake",69.4,7.1,0.140,22.67759363
"Díaz, Aledmys",68.9,7.4,0.146,21.44584193
"Massey, Michael",70.8,7.2,0.139,23.273966
"Neto, Zach",71,7.1,0.136,23.7353
"Vilade, Ryan",74.3,7.2,0.132,25.63194176
"Wiemer Jr., Joey",72.1,7.4,0.140,23.48416842
"Hayes, Ke'Bryan",72.1,6.9,0.130,25.18591975
"Pederson, Joc",73.4,7.7,0.143,23.3904066
"Rafaela, Ceddanne",70.1,7.5,0.146,21.90338057
"Shenton, Austin",68.9,7.2,0.142,22.04155976
"Duran, Jarren",73.6,7.6,0.141,23.82749642
"Sánchez, Jesús",75.2,7.1,0.129,26.62647707
"Arias, Gabriel",74.5,7.6,0.139,24.41379704
"Farmer, Kyle",66.7,6.8,0.139,21.87152834
"Yoshida, Masataka",70.9,7.3,0.140,23.02003538
"Sánchez, Gary",73.1,7.4,0.138,24.14011923
"Betts, Mookie",69.1,6.9,0.136,23.13360845
"O'Hearn, Ryan",72.4,7.1,0.134,24.68056856
"Millas, Drew",68.5,7.1,0.141,22.09322782
"Matos, Luis",71.7,7.2,0.137,23.86943788
"Pham, Tommy",72.7,6.9,0.129,25.60684706
"Semien, Marcus",68.3,7.7,0.154,20.25289256
"Benson, Will",72.1,7.9,0.149,21.99782865
"Dalbec, Bobby",72.3,7.2,0.136,24.27059788
